"","agency_name","position_title","attorney","employer","start_date","end_date","title","notes"
"6134","White House Office","Associate Director","Jack J. Heretik","",NA,NA,"",NA
"6135","Defense","Special Assistant to the Dasd (Manufacturing and
Industrial Base Policy), Office of the Under Secretary of Defense
(Acquisition, Technology, and Logistics)","Christopher Lehman","",2018,NA,"",NA
"6136","Justice","Chief of Staff and Counselor, Office of the Associate Attorney General","Rachel Kelly Parker-Bissex","",2018,NA,"",NA
"6137","White House Office","Associate Director","Christopher L. Chaffee","",NA,NA,"",NA
"6138","White House Office","Counsel to the President","Pasquale A. \Pat\"" Cipollone""","",NA,NA,"",NA
"6139","White House Office","Deputy Assistant to the President and Deputy Director of Legislative Affairs","Benjamin R. Howard","",NA,NA,"",NA
"6140","African Development Bank","United States Director","J. Steven Dowd","Vinca Services, Inc.",2017,NA,"Management of business",NA
"6141","African Development Bank","United States Director","J. Steven Dowd","Vela Management Services, Inc.",2017,NA,"Management of business",NA
"6142","African Development Bank","United States Director","J. Steven Dowd","Ag Source, LLC",2017,NA,"Management of business",NA
"6143","African Development Bank","United States Director","J. Steven Dowd","Vinca Services, Inc.",2017,NA,"Manager/Owner",NA
"6144","African Development Bank","United States Director","J. Steven Dowd","Vela Management Services, Inc.",2017,NA,"Manager",NA
"6145","African Development Bank","United States Director","J. Steven Dowd","Ag Source, LLC",2017,NA,"Manager/Owner",NA
"6146","Management and Budget","Administrator, E-Government and Information
Technology, Office of E-Government and Information
Technology","Suzette Kuhlow Kent","",2018,NA,"",NA
"6147","Housing and Urban Development","Regional Administrator, Office of Field Policy and Management","Jason Michael Mohr","",2018,NA,"",NA
"6148","Commodity Futures Trading Commission","Chairman","Christopher Giancarlo","Estate of Family Member",2017,NA,"Personal Represenative/E xecutor",NA
"6149","Commodity Futures Trading Commission","Chairman","Christopher Giancarlo","1995 Irrevocable Family Trust",2017,NA,"Trustee",NA
"6150","Commodity Futures Trading Commission","Chairman","Christopher Giancarlo","2014 Family Trust",2017,NA,"Trustee",NA
"6151","Commodity Futures Trading Commission","Chairman","Christopher Giancarlo","Sora Montana, LLC",2017,NA,"Managing Member",NA
"6152","Commodity Futures Trading Commission","Chairman","Christopher Giancarlo","181 South Woodland, LLC",2017,NA,"Managing Member",NA
"6153","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Stump Strategic",NA,NA,"Managed day to day business operations, client engagement, and business marketing opportunities.",NA
"6154","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Futures Industry Association",NA,NA,"Managed regional advisory board, coalition building efforts, and strategic public policy engagement.",NA
"6155","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Futures Industry Association (client of Stump Strategic)",NA,NA,"Consultant",NA
"6156","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Stump Strategic",NA,NA,"President",NA
"6157","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Futures Industry Association",NA,NA,"Executive Director Americas Advisory Committee, Senior Vice President of U.S. Policy",NA
"6158","Commodity Futures Trading Commission","Commissioner","Dawn DeBerry Stump","Rodan & Fields, LLC",NA,NA,"Consultant",NA
"6159","Army","Principal Deputy to the Assistant Secretary of the Army
(Manpower and Reserve Affairs), Office Assistant Secretary Army (Manpower
and Reserve Affairs)","Marshall D. Williams","",2018,NA,"",NA
"6160","White House Office","Special Assistant to the President and Deputy Director of Intergovernmental Affairs","William F. Crozer","",NA,NA,"",NA
"6161","National Transportation Safety Board","Board Member","Bruce Landsberg","AOPA Air Safety Institute -Non-profit aviation safety organization",NA,NA,"Provided program development and outreach services as an aviation safety consultant.",NA
"6162","National Transportation Safety Board","Board Member","Bruce Landsberg","Aircraft Owners and Pilots Association (AOPA) Air Safety Institute",NA,NA,"Senior Safety Advisor",NA
"6163","National Transportation Safety Board","Board Member","Bruce Landsberg","Coalition to End Veteran Suicide",NA,NA,"President",NA
"6164","National Mediation Board","Board Member","Gerald W. Fauth","G. W. Fauth & Associates, Inc.",2017,NA,"President",NA
"6165","National Mediation Board","Board Member","Gerald W. Fauth","KCVN, LLC",2017,NA,"Consulting Services/Expert Testimony",NA
"6166","National Mediation Board","Board Member","Gerald W. Fauth","American Short Line and Regional Railroad Association",2017,NA,"Consulting Services/Expert Testimony",NA
"6167","National Mediation Board","Board Member","Gerald W. Fauth","Montana Wheat & Barley Committee",2017,NA,"Consulting Services/Expert Testimony",NA
"6168","National Mediation Board","Board Member","Gerald W. Fauth","116 S. Royal Street Partners, LLC",2017,NA,"Managing Member",NA
"6169","National Mediation Board","Board Member","Gerald W. Fauth","Gerald W. Fauth Jr. Family Trust",2017,NA,"Co-Trustee",NA
"6170","National Transportation Safety Board","Board Member","Robert L. Sumwalt III","",2017,NA,"",NA
"6171","National Mediation Board","Board Member","Kyle Fortson","",2017,NA,"",NA
"6172","State","Ambassador, Republic of Senegal & Guinea-Bissau","Tulinabo Mushingi","",2017,NA,"",NA
"6173","State","Ambassador, Germany","Richard Grenell","Capitol Media Partners",NA,NA,"Public affairs and communications consulting",NA
"6174","State","Ambassador, Germany","Richard Grenell","Newsmax Media",NA,NA,"Advisory board services",NA
"6175","State","Ambassador, Germany","Richard Grenell","InterTrend Communications",NA,NA,"Public affairs and communications consulting",NA
"6176","State","Ambassador, Germany","Richard Grenell","Integrated Environmental Technologies Ltd",NA,NA,"Public affairs and communications consulting",NA
"6177","State","Ambassador, Germany","Richard Grenell","Arent Fox LLP",NA,NA,"Public affairs and communications consulting",NA
"6178","State","Ambassador, Germany","Richard Grenell","Take Back Our Republic",NA,NA,"Public affairs and communications consulting",NA
"6179","State","Ambassador, Germany","Richard Grenell","Hydrantid",NA,NA,"Public affairs and communications consulting",NA
"6180","State","Ambassador, Germany","Richard Grenell","Kitson",NA,NA,"Public affairs and communications consulting",NA
"6181","State","Ambassador, Germany","Richard Grenell","Republican Party of Cuyahoga County",NA,NA,"Public affairs and communications consulting",NA
"6182","State","Ambassador, Germany","Richard Grenell","Prague Freedom Foundation",NA,NA,"Public affairs and communications consulting",NA
"6183","State","Ambassador, Germany","Richard Grenell","Green Dragon Gas",NA,NA,"Public affairs and communications consulting",NA
"6184","State","Ambassador, Germany","Richard Grenell","MLA Sports LLC",NA,NA,"Public affairs and communications consulting",NA
"6185","State","Ambassador, Germany","Richard Grenell","Arthur J. Finkelstein & Associations",NA,NA,"Public affairs and communications consulting",NA
"6186","State","Ambassador, Germany","Richard Grenell","Cato Institute",NA,NA,"Public affairs and communications consulting",NA
"6187","State","Ambassador, Germany","Richard Grenell","Flotek Industries Inc.",NA,NA,"Public affairs and communications consulting",NA
"6188","State","Ambassador, Germany","Richard Grenell","Solarmax Technology Inc.",NA,NA,"Public affairs and communications consulting",NA
"6189","State","Ambassador, Germany","Richard Grenell","Showcall Inc.",NA,NA,"Public affairs and communications consulting",NA
"6190","State","Ambassador, Germany","Richard Grenell","Restoration PAC",NA,NA,"Public affairs and communications consulting",NA
"6191","State","Ambassador, Germany","Richard Grenell","Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,"Public affairs and communications consulting",NA
"6192","State","Ambassador, Germany","Richard Grenell","California Rifle & Pistol Association",NA,NA,"Public affairs and communications consulting",NA
"6193","State","Ambassador, Germany","Richard Grenell","Kate del Castillo",NA,NA,"Public affairs and communications consulting",NA
"6194","State","Ambassador, Germany","Richard Grenell","Manolatos Nelson Murphy Advertising & Public Relations",NA,NA,"Public affairs and communications consulting",NA
"6195","State","Ambassador, Germany","Richard Grenell","Coalition for Civil Liberties",NA,NA,"Public affairs and communications consulting",NA
"6196","State","Ambassador, Germany","Richard Grenell","PuppySpot",NA,NA,"Public affairs and communications consulting",NA
"6197","State","Ambassador, Germany","Richard Grenell","Duane and Kelly Roberts",NA,NA,"Public affairs and communications consulting",NA
"6198","State","Ambassador, Germany","Richard Grenell","Medolac",NA,NA,"Public affairs and communications consulting",NA
"6199","State","Ambassador, Germany","Richard Grenell","Ca' Del Grevino Estate & Vineyard",NA,NA,"Public affairs and communications consulting",NA
"6200","State","Ambassador, Germany","Richard Grenell","Mark Scarsi",NA,NA,"Public affairs and communications consulting",NA
"6201","State","Ambassador, Germany","Richard Grenell","Policy & Taxation Group",NA,NA,"Public affairs and communications consulting.",NA
"6202","State","Ambassador, Germany","Richard Grenell","No Downtown Stadium #NOonC Coalition",NA,NA,"Public affairs and communications consulting",NA
"6203","State","Ambassador, Germany","Richard Grenell","Fox News Network, LLC",NA,NA,"Contributor",NA
"6204","State","Ambassador, Germany","Richard Grenell","Capitol Media Partners",NA,NA,"Managing Member",NA
"6205","State","Ambassador, Germany","Richard Grenell","Treatment Technologies and Insights, LLC",NA,NA,"Managing Member",NA
"6206","State","Ambassador, Germany","Richard Grenell","Newsmax Media",NA,NA,"Advisory Board",NA
"6207","Nuclear Regulatory Commission","Commissioner","Jeffrey Martin Baran","",NA,NA,"",NA
"6208","State","Ambassador, New Zealand & Samoa","Scott Brown","SkyBridge Capital",2017,NA,"Advisor",NA
"6209","State","Ambassador, New Zealand & Samoa","Scott Brown","J. Ron Terwilliger Foundation for Housing America's Families",2017,NA,"Advisor",NA
"6210","State","Ambassador, New Zealand & Samoa","Scott Brown","Cost Sharing Solutions, LLC",2017,NA,"advisor on healthcare/cost sharing plans",NA
"6211","State","Ambassador, New Zealand & Samoa","Scott Brown","National Insulation Association",2017,NA,"Speaker",NA
"6212","State","Ambassador, New Zealand & Samoa","Scott Brown","Discover Financial Services",2017,NA,"Speaker",NA
"6213","State","Ambassador, New Zealand & Samoa","Scott Brown","Newington-Cropsey Foundation",2017,NA,"Speaker",NA
"6214","State","Ambassador, New Zealand & Samoa","Scott Brown","Washington Area New Automobile Dealers Association (WANADA)",2017,NA,"Keynote speaker",NA
"6215","State","Ambassador, New Zealand & Samoa","Scott Brown","Williams College",2017,NA,"Speaker",NA
"6216","State","Ambassador, New Zealand & Samoa","Scott Brown","University of Tennessee",2017,NA,"Speaker",NA
"6217","State","Ambassador, New Zealand & Samoa","Scott Brown","1st Alliance Lending, LLP",2017,NA,"Advisor",NA
"6218","State","Ambassador, New Zealand & Samoa","Scott Brown","Law Office of Scott P. Brown",2017,NA,"Owner",NA
"6219","State","Ambassador, New Zealand & Samoa","Scott Brown","CoachUp, Inc.",2017,NA,"Advisor",NA
"6220","State","Ambassador, New Zealand & Samoa","Scott Brown","Rye Junior High School",2017,NA,"Boys Basketball Coach",NA
"6221","State","Ambassador, New Zealand & Samoa","Scott Brown","Cost Sharing Solutions, LLC",2017,NA,"Advisor",NA
"6222","State","Ambassador, New Zealand & Samoa","Scott Brown","USA Triathlon Foundation",2017,NA,"Foundation Board Member",NA
"6223","State","Ambassador, New Zealand & Samoa","Scott Brown","Family Revocable Trust",2017,NA,"Co- Trustee",NA
"6224","State","Ambassador, New Zealand & Samoa","Scott Brown","S&G Media, LLC",2017,NA,"Manager",NA
"6225","State","Ambassador, New Zealand & Samoa","Scott Brown","S&G Realty, LLC",2017,NA,"Manager",NA
"6226","State","Ambassador, New Zealand & Samoa","Scott Brown","S&G Realty Ventures, LLC",2017,NA,"Manager",NA
"6227","State","Ambassador, New Zealand & Samoa","Scott Brown","GDSI, Inc.",2017,NA,"Advisor",NA
"6228","State","Ambassador, New Zealand & Samoa","Scott Brown","1st Alliance Lending, LLP",2017,NA,"advisor",NA
"6229","State","Ambassador, New Zealand & Samoa","Scott Brown","Fox News Network, LLC",2017,NA,"Contracted Contributor",NA
"6230","State","Ambassador, Russia","Jon Huntsman Jr.","Chevron Corporation",2017,NA,"Serve as a board director.",NA
"6231","State","Ambassador, Russia","Jon Huntsman Jr.","Ford Motor Company",2017,NA,"Serve as a board director.",NA
"6232","State","Ambassador, Russia","Jon Huntsman Jr.","Caterpillar",2017,NA,"Serve as a board director.",NA
"6233","State","Ambassador, Russia","Jon Huntsman Jr.","Hilton Worldwide",2017,NA,"Serve as a board director.",NA
"6234","State","Ambassador, Russia","Jon Huntsman Jr.","Huntsman Corporation",2017,NA,"Board Director and consulting fees.",NA
"6235","State","Ambassador, Russia","Jon Huntsman Jr.","Indiana University",2017,NA,"Speaking engagement",NA
"6236","State","Ambassador, Russia","Jon Huntsman Jr.","Eurasia Group US Ltd.",2017,NA,"Speaking engagement",NA
"6237","State","Ambassador, Russia","Jon Huntsman Jr.","Ringling College Library Association",2017,NA,"Speaking honorarium",NA
"6238","State","Ambassador, Russia","Jon Huntsman Jr.","MatureHealth Communications",2017,NA,"Speaking honorarium",NA
"6239","State","Ambassador, Russia","Jon Huntsman Jr.","Advanced Medical Technology Association (AdvaMed)",2017,NA,"speaking honorarium",NA
"6240","State","Ambassador, Russia","Jon Huntsman Jr.","World 50, Inc",2017,NA,"speaking honorarium",NA
"6241","State","Ambassador, Russia","Jon Huntsman Jr.","Fidelity Investments",2017,NA,"speaking honorarium",NA
"6242","State","Ambassador, Russia","Jon Huntsman Jr.","Sidley Austin LLP",2017,NA,"speaking honorarium",NA
"6243","State","Ambassador, Russia","Jon Huntsman Jr.","HSBC Holdings PLC",2017,NA,"speaking honorarium",NA
"6244","State","Ambassador, Russia","Jon Huntsman Jr.","Invest In the USA (IIUSA)",2017,NA,"speaking honorarium",NA
"6245","State","Ambassador, Russia","Jon Huntsman Jr.","Roanoke College",2017,NA,"speaking honorarium",NA
"6246","State","Ambassador, Russia","Jon Huntsman Jr.","NMS Group",2017,NA,"speaking honoarium",NA
"6247","State","Ambassador, Russia","Jon Huntsman Jr.","Commonfund",2017,NA,"speaking honoarium",NA
"6248","State","Ambassador, Russia","Jon Huntsman Jr.","NBC Universal",2017,NA,"speaking honoarium",NA
"6249","State","Ambassador, Russia","Jon Huntsman Jr.","Ironshore, Inc.",2017,NA,"speaking honoarium",NA
"6250","State","Ambassador, Russia","Jon Huntsman Jr.","Leading Authorities, Inc",2017,NA,"speaking honoarium",NA
"6251","State","Ambassador, Russia","Jon Huntsman Jr.","Saint Mary's University of Minnesota",2017,NA,"speaking honoarium",NA
"6252","State","Ambassador, Russia","Jon Huntsman Jr.","Brown Advisory",2017,NA,"speaking honoarium",NA
"6253","State","Ambassador, Russia","Jon Huntsman Jr.","JPMorgan Chase & Co.",2017,NA,"speaking honoarium",NA
"6254","State","Ambassador, Russia","Jon Huntsman Jr.","Babson Capital",2017,NA,"speaking honoarium",NA
"6255","State","Ambassador, Russia","Jon Huntsman Jr.","Gerson Lehrman Group",2017,NA,"speaking honoarium",NA
"6256","State","Ambassador, Russia","Jon Huntsman Jr.","Bank of America Merrill Lynch",2017,NA,"speaking honoarium",NA
"6257","State","Ambassador, Russia","Jon Huntsman Jr.","ReliaMax Holding Company",2017,NA,"speaking honoarium",NA
"6258","State","Ambassador, Russia","Jon Huntsman Jr.","Hilton Worldwide",2017,NA,"Board Director",NA
"6259","State","Ambassador, Russia","Jon Huntsman Jr.","Ford Motor Company",2017,NA,"Board Director",NA
"6260","State","Ambassador, Russia","Jon Huntsman Jr.","Caterpillar",2017,NA,"Board Director",NA
"6261","State","Ambassador, Russia","Jon Huntsman Jr.","Chevron Corporation",2017,NA,"Board Director",NA
"6262","State","Ambassador, Russia","Jon Huntsman Jr.","Huntsman Corporation",2017,NA,"Board Director",NA
"6263","State","Ambassador, Russia","Jon Huntsman Jr.","Atlantic Council",2017,NA,"Chairman",NA
"6264","State","Ambassador, Russia","Jon Huntsman Jr.","University of Pennsylvania",2017,NA,"Trustee",NA
"6265","State","Ambassador, Russia","Jon Huntsman Jr.","US Naval Academy Foundation",2017,NA,"Board Member",NA
"6266","State","Ambassador, Russia","Jon Huntsman Jr.","Ronald Reagan Presidential Foundation",2017,NA,"Member of the Board of Trustees",NA
"6267","State","Ambassador, Russia","Jon Huntsman Jr.","Huntsman Cancer Foundation",2017,NA,"Chairman",NA
"6268","State","Ambassador, Russia","Jon Huntsman Jr.","Huntsman Corporation",2017,NA,"Consultant",NA
"6269","State","U.S. Representative to the United Nations","Nikki Haley","State of South Carolina",2017,NA,"Governor",NA
"6270","State","U.S. Representative to the United Nations","Nikki Haley","The Original Six Foundation",2017,NA,"Member on Board of Trustees",NA
"6271","State","Ambassador, Republic of the Congo","Todd Philip Haskell","",2017,NA,"",NA
"6272","State","Ambassador, Rwanda","Peter Hendrick Vrooman","Family Trust",2018,NA,"Trustee",NA
"6273","State","Ambassador, Chile","Andrew Gellert","Atalanta Corporation",NA,NA,"Vice President",NA
"6274","State","Ambassador, Chile","Andrew Gellert","Finica Food Specialities LTD",NA,NA,"Consulting Arrangement",NA
"6275","State","Ambassador, Chile","Andrew Gellert","Regal Bank",NA,NA,"Member of Board of Directors",NA
"6276","State","Ambassador, Chile","Andrew Gellert","Barandi Brokerage Corporation",NA,NA,"Director/Vice President",NA
"6277","State","Ambassador, Chile","Andrew Gellert","Gellfam Management Corporation",NA,NA,"Director/Vice President",NA
"6278","State","Ambassador, Chile","Andrew Gellert","Regal Bank",NA,NA,"Director",NA
"6279","State","Ambassador, Chile","Andrew Gellert","The 2011 Gellert Descendants Trust",NA,NA,"Trustee",NA
"6280","State","Ambassador, Chile","Andrew Gellert","The 2012 Amy T Lebovitz Descendants Trust",NA,NA,"Trustee",NA
"6281","State","Ambassador, Chile","Andrew Gellert","The 2012 Thomas Gellert Descendants Trust",NA,NA,"Trustee",NA
"6282","State","Ambassador, Chile","Andrew Gellert","JF Braun & Sons Inc. (Food Importer and Supplier)",NA,NA,"Vice President",NA
"6283","State","Ambassador, Chile","Andrew Gellert","Camerican International Inc. (Food Sourcing and Import Services)",NA,NA,"Director/Vice President",NA
"6284","State","Ambassador, Chile","Andrew Gellert","Gelcan Inc. (Holding Company)",NA,NA,"Director/Preside nt",NA
"6285","State","Ambassador, Chile","Andrew Gellert","Barandi Brokerage Corporation",NA,NA,"Director/Preside nt",NA
"6286","State","Ambassador, Chile","Andrew Gellert","Great Bons Inc. (Fast Food Franchise Operation)",NA,NA,"Director/Vice President",NA
"6287","State","Ambassador, Chile","Andrew Gellert","Merit Farms Inc.(Inactive  Cheese Imports)",NA,NA,"Vice President",NA
"6288","State","Ambassador, Chile","Andrew Gellert","Monarch Seafood Inc. (Seafood Purveyor)",NA,NA,"President/Treas urer",NA
"6289","State","Ambassador, Chile","Andrew Gellert","Finica Food Specialities LTD",NA,NA,"Secretary/Treas urer",NA
"6290","State","Ambassador, Chile","Andrew Gellert","Danic III LLC (Holds Commercial Real Estate)",NA,NA,"Managing Member",NA
"6291","State","Ambassador, Chile","Andrew Gellert","Danic IV LLC (Holds Commercial Real Estate)",NA,NA,"Managing Member",NA
"6292","State","Ambassador, Chile","Andrew Gellert","Danic V LLC (Holds Commercial Real Estate)",NA,NA,"Managing Member",NA
"6293","State","Ambassador, Chile","Andrew Gellert","New Jersey Performing Arts Center",NA,NA,"Board Member",NA
"6294","State","Ambassador, Chile","Andrew Gellert","Churchill Casualty Shared Insurance Group (Shared Insurance Company)",NA,NA,"Board Member",NA
"6295","State","Ambassador, Chile","Andrew Gellert","Elizabeth Development Corporation",NA,NA,"Board Member",NA
"6296","State","Ambassador, Chile","Andrew Gellert","From House to Home",NA,NA,"Board Member",NA
"6297","State","Ambassador, Chile","Andrew Gellert","Association of Food Industries Incorporated",NA,NA,"Board Member",NA
"6298","State","Ambassador, Chile","Andrew Gellert","The Gellert Family 1991 Trust",NA,NA,"Trustee",NA
"6299","State","Ambassador, Chile","Andrew Gellert","Andrew M. Gellert Grantor Trust 2014",NA,NA,"Trustee",NA
"6300","State","Ambassador, Chile","Andrew Gellert","Gellert Global Group (Food Importing)",NA,NA,"President",NA
"6301","State","Ambassador, Argentina","Edward Charles Prado","",NA,NA,"",NA
"6302","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","McMullen Public Affairs, LLC",2017,NA,"President manages advertising, media, and data analytics for the firm. Manages staff",NA
"6303","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Boeing Company",2017,NA,"Public Relations and Communications services",NA
"6304","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","RJ Reynolds",2017,NA,"Public Relations and Communications Services",NA
"6305","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Mobilitie",2017,NA,"Communications and Advertising Services",NA
"6306","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Pfizer",2017,NA,"Polling and media services",NA
"6307","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Norman Analytics",2017,NA,"Alliance development and policy consulting",NA
"6308","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","ARAWC",2017,NA,"Alliance development and policy consulting",NA
"6309","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Citizens for Digital Future",2017,NA,"Advertising Services",NA
"6310","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","SC Council on Competitveness",2017,NA,"Polling and communications consulting",NA
"6311","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","PhRMA",2017,NA,"Communications and media consulting services",NA
"6312","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","NP Strategy",2017,NA,"Communication and advertising services",NA
"6313","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","SAS Institute Inc.",2017,NA,"Alliance development and policy consulting",NA
"6314","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Columbia Management",2017,NA,"Advertising and communication consulting services",NA
"6315","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Blue Cross Blue Shield",2017,NA,"Polling and Communication services",NA
"6316","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","SCANA Corporation",2017,NA,"Advertising, polling and communication services",NA
"6317","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Allied Public Affairs",2017,NA,"Advertising, data analytics and communications consulting",NA
"6318","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Select Management Resources",2017,NA,"Advertising and Communication Consulting",NA
"6319","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Alphabet Inc.",2017,NA,"Events and media consulting",NA
"6320","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Trump for America, Inc.",2017,NA,"Public Relations and Communications Services",NA
"6321","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Hampden Sydney College",2017,NA,"Board Member and President Elect",NA
"6322","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Dry Branch Club",2017,NA,"Vice President",NA
"6323","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","McMullen Public Affairs, LLC",2017,NA,"President",NA
"6324","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","Trump for America, Inc.",2017,NA,"Advisor to the Office of Public Liaison",NA
"6325","State","Ambassador, Switzerland & Principality of Liechtenstein","Edward T. McMullen Jr.","58th Presidential Inaugural Committee",2017,NA,"Co-Chair",NA
"6326","State","Ambassador, Costa Rica","Sharon Day","Republican National Committee",2017,NA,"Co-Chair",NA
"6327","State","Ambassador, Costa Rica","Sharon Day","Revocable Family Trust #1",2017,NA,"Trustee",NA
"6328","State","Ambassador, Costa Rica","Sharon Day","Revocable Family Trust #2",2017,NA,"Trustee",NA
"6329","Transportation","Administrator, Federal Motor Carrier Safety Administration","Raymond Martinez","State of New Jersey Motor Vehicle Commission",2018,NA,"Chief Executive of state government agency.",NA
"6330","Transportation","Administrator, Federal Motor Carrier Safety Administration","Raymond Martinez","State of New Jersey Motor Vehicle Commission",2018,NA,"Chairman & Chief Administrator",NA
"6331","Transportation","Administrator, Federal Motor Carrier Safety Administration","Raymond Martinez","American Association of Motor Vehicle Administrators (AAMVA)",2018,NA,"Board Member",NA
"6332","State","Ambassador, Mauritius and Seychelles","David Dale Reimer","",2017,NA,"",NA
"6333","Personnel Management","Director","Jeff Tien Han Pon","Society for Human Resource Management",NA,NA,"Manage and oversee HR, Diversity, Strategic Planning and the SHRM Foundation.",NA
"6334","Personnel Management","Director","Jeff Tien Han Pon","Society for Human Resource Management",NA,NA,"Chief Human Resources and Strategy Officer",NA
"6335","Personnel Management","Director","Jeff Tien Han Pon","Goodland Central Corp",NA,NA,"Vice President",NA
"6336","White House Office","Special Assistant to the President and Senior Director, WMD, National Security Council","Christopher A. Ford","Christopher Ashley Ford Revocable Trust",2017,NA,"Trustee",NA
"6337","White House Office","Special Assistant to the President and Senior Director, WMD, National Security Council","Christopher A. Ford","Trump for America, Inc.",2017,NA,"Volunteer (uncompensate d)",NA
"6338","Treasury","General Counsel","Brent James McIntosh","United States Chamber of Commerce (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6339","Treasury","General Counsel","Brent James McIntosh","Volkswagen AG (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6340","Treasury","General Counsel","Brent James McIntosh","Sullivan & Cromwell LLP",2017,NA,"Legal services",NA
"6341","Treasury","General Counsel","Brent James McIntosh","Australia Pacific LNG Proprietary Ltd (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6342","Treasury","General Counsel","Brent James McIntosh","Bank Hapoalim (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6343","Treasury","General Counsel","Brent James McIntosh","Barclays Bank PLC (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6344","Treasury","General Counsel","Brent James McIntosh","Barclays Capital Inc. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6345","Treasury","General Counsel","Brent James McIntosh","BP PLC (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6346","Treasury","General Counsel","Brent James McIntosh","Energy Futures Holdings Corp. Committee of Unsecured Creditors (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6347","Treasury","General Counsel","Brent James McIntosh","Graham Spanier (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6348","Treasury","General Counsel","Brent James McIntosh","Higher One Holdings, Inc. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6349","Treasury","General Counsel","Brent James McIntosh","JPMorgan Chase & Co. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6350","Treasury","General Counsel","Brent James McIntosh","Nomura Holding America Inc. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6351","Treasury","General Counsel","Brent James McIntosh","Popular, Inc. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6352","Treasury","General Counsel","Brent James McIntosh","Prudential Financial, Inc. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6353","Treasury","General Counsel","Brent James McIntosh","Related Fund Management, LLC (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6354","Treasury","General Counsel","Brent James McIntosh","Securities Industry & Financial Markets Association (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6355","Treasury","General Counsel","Brent James McIntosh","Wells Fargo & Co. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6356","Treasury","General Counsel","Brent James McIntosh","CarVal Investors LLC (client of Sullivan & Cromwell LLP)",2017,NA,"Legal Services",NA
"6357","Treasury","General Counsel","Brent James McIntosh","Claren Road Credit Master Fund, Ltd.  (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
"6358","Treasury","General Counsel","Brent James McIntosh","Claren Road Credit Opportunities Master Fund, Ltd. (client of Sullivan & Cromwell LLP)",2017,NA,"Legal services",NA
